Intent,Answer,Source,,,
in_อาการโควิด,"มีไข้สูงมากกว่า 37.5 องศา, ไอ เจ็บคอ, ครั่นเนื้อครั่นตัว, อ่อนเพลีย, หายใจเหนื่อยหอบ หายใจลำบาก",http://www.sikarin.com/content/detail/408/%E0%B8%A7%E0%B8%B4%E0%B8%98%E0%B8%B5%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%9B%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B8%81%E0%B8%B1%E0%B8%99-%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%A1%E0%B8%B7%E0%B8%AD-%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A3%E0%B8%99%E0%B9%88%E0%B8%B2-covid-19,,,https://bit.ly/2Jk6Q0c
in_ความอันตรายของโควิด,อันตรายที่ทำให้เสี่ยงถึงชีวิต จะเกิดขึ้นเมื่อระบบภูมิต้านทานโรคของเราไม่แข็งแรง หรือเชื้อไวรัสเข้าไปทำลายการทำงานของปอดได้ จนทำให้เชื้อไวรัสแพร่กระจายลุกลามมากขึ้น รวดเร็วขึ้น,https://www.sanook.com/health/20609/,,,https://bit.ly/3alvpGe
in_ขนาดของโควิด,เชื้อ COVID-19 เป็นเชื้อไวรัสในตระกูลโคโรนาไวรัส มีขนาดเล็กมาก ไม่สามารถมองเห็นด้วยตาเปล่า หรือโดยกล้องจุลทรรศน์ที่ใช้กันโดยทั่วไป,https://ddc.moph.go.th/viralpneumonia/faq.php,,,https://bit.ly/2R25wnl
in_การแพร่กระจายของโควิด,เชื้อ COVID-19 สามารถแพร่กระจายผ่านสิ่งของที่แปดเปื้อนเชื้อโรคได้ อยู่ได้นานหลายวันหากไม่มีการทำความสะอาด หากใช้มือสัมผัสสิ่งของแล้วนำมาแตะบริเวณหน้า หรือหยิบอาหารเข้าปาก สามารถติดเชื้อได้เช่นเดียวกับการสัมผัสเชื้อจากผู้ป่วยโดยตรง จึงควรต้องระมัดระวัง ทำความสะอาดพื้นผิวที่อาจแปดเปื้อนบ่อยๆ และล้างมือบ่อยๆ,https://ddc.moph.go.th/viralpneumonia/faq.php,,,https://bit.ly/2R25wnl
in_การทำความสะอาดรถ,ประเด็นที่สำคัญของการทำความสะอาดรถยนต์ รถสาธารณะคือการทำความสะอาดบริเวณจุดที่มือของผู้โดยสารมีโอกาสสัมผัส นอกจากการเช็ดด้วยแอลกอฮอล์ 70% องค์การอนามัยโลกแนะนำว่าสามารถใช้น้ำยาละลายผงซักฟอกเช็ดทำความสะอาด นอกจากการเช็ดพื้นผิวสัมผัสต่างๆ การนำรถไปตากแดดน่าจะลดความคงอยู่ของเชื้อเนื่องจากอุณหภูมิความร้อน,https://ddc.moph.go.th/viralpneumonia/faq.php,,,https://bit.ly/2R25wnl
in_แนะนำวิธีป้องกัน,หลีกเลี่ยงการสัมผัสใกล้ชิดผู้มีอาการป่วย รักษาระยะห่างอย่างน้อย 1 เมตร หลีกเลี่ยงการสัมผัสบริเวณตา จมูกและปาก โดยไม่ได้ล้างมือ ควรล้างมือบ่อยๆ ด้วยน้ำและสบู่ หรือน้ำยาแอลกอฮอล์ล้างมือ 70% หากมีไข้ ไอ หายใจลำบาก ให้ไปพบแพทย์ทันที และแจ้งประวัติการเดินทาง,https://ddc.moph.go.th/viralpneumonia/faq_more.php,,,https://bit.ly/2WJMQfr
in_การป้องกันไม่ให้เชื้อแพร่,ควรพักอยู่ที่บ้าน ปิดปากและจมูกด้วยทิชชูทุกครั้งที่ไอหรือจาม และทิ้งลงถังขยะ ทำความสะอาดและทำลายเชื้อตามวัสดุสิ่งของ และผิวสัมผัสต่างๆ,https://ddc.moph.go.th/viralpneumonia/faq_more.php,,,https://bit.ly/2WJMQfr
in_ข้อควรปฏิบัติเมื่อกลับจากจีน,หากท่านเดินทางกลับจากสาธารณรัฐประชาชนจีน ภายใน 14 วัน และมีอาการไข้ ไอ น้ำมูก เหนื่อยหอบ โปรดไปพบแพทย์ทันที พร้อมแจ้งประวัติการเดินทาง และควรป้องกันการแพร่กระจายเชื้อสู่ผู้อื่น โดยงดเดินทางขณะป่วย ถ้าจำเป็นควรสวมหน้ากากอนามัยตลอดเวลา หลีกเลี่ยงคลุกคลี่กับผู้อื่น ปิดปากและจมูกด้วยทิชชูทุกครั้งที่ไอหรือจามและทิ้งลงถังขยะ ควรล้างมือบ่อยๆ ด้วยน้ำและสบู่ หรือแอลกอฮอล์ล้างมือ 70%,https://ddc.moph.go.th/viralpneumonia/faq_more.php,,,https://bit.ly/2WJMQfr
in_การทำความสะอาดสิ่งของรอบตัว,ควรมีการทำความสะอาดสถานที่ อุปกรณ์ เครื่องใช้ที่มีผู้สัมผัสจำนวนมาก เช่น ลูกบิดประตู ราวบันได โต๊ะอาหาร ผ้าห่ม ผ้าปูเตียง เครื่องครัว จาน ชาม ช้อน ซ้อม แก้วน้ำ ด้วยน้ำยาทำความสะอาดหรือเช็ดด้วยแอลกอฮอล์ 70% อย่างน้อยวันละ 1-2 ครั้ง,https://ddc.moph.go.th/viralpneumonia/faq_more.php,,,https://bit.ly/2WJMQfr
in_จุดเริ่มต้นของโควิด,ไวรัสโคโรนาสายพันธุ์ใหม่ 2019 เป็นตระกูลของไวรัสที่ก่อให้อาการป่วยตั้งแต่โรคไข้หวัดธรรมดาไปจนถึงโรคที่มีความรุนแรงมาก เช่น โรคระบบทางเดินหายใจตะวันออกกลาง (MERS-CoV) และโรคระบบทางเดินหายใจเฉียบพลันรุนแรง (SARS-CoV) เป็นต้น ซึ่งเป็นสายพันธุ์ใหม่ที่ไม่เคยพบมาก่อนในมนุษย์ก่อให้เกิดอาการป่วยระบบทางเดินหายใจในคน และสามารถแพร่เชื้อจากคนสู่คนได้ โดยเชื้อไวรัสนี้พบครั้งแรกในการระบาดในเมืองอู่ฮั่น มณฑลหูเป่ย์ สาธารณรัฐประชาชนจีน ในช่วงปลายปี 2019,https://ddc.moph.go.th/viralpneumonia/faq_more.php,,,https://bit.ly/2WJMQfr
